Country	Region	NumberOfBooks	Gender	meanScore
Costa Rica	LATIN AMER. & CARIB	101-200 books	Female	435.5322056737589
Costa Rica	LATIN AMER. & CARIB	0-10 books	Female	377.79397049335864
Costa Rica	LATIN AMER. & CARIB	More than 500 books	Male	480.1852666666667
Costa Rica	LATIN AMER. & CARIB	26-100 books	Female	413.5574400423729
Costa Rica	LATIN AMER. & CARIB	0-10 books	Male	400.4668359600444
Costa Rica	LATIN AMER. & CARIB	11-25 books	Male	423.34344504672896
Costa Rica	LATIN AMER. & CARIB	201-500 books	Female	451.2139641509434
Costa Rica	LATIN AMER. & CARIB	101-200 books	Male	461.9103246031746
Costa Rica	LATIN AMER. & CARIB	201-500 books	Male	502.37197027027025
Croatia	EASTERN EUROPE	11-25 books	Female	445.62543990066223
Croatia	EASTERN EUROPE	11-25 books	Male	462.72023338582676
Croatia	EASTERN EUROPE	101-200 books	Female	498.28745035714286
Croatia	EASTERN EUROPE	More than 500 books	Female	512.4522492063492
Croatia	EASTERN EUROPE	More than 500 books	Male	501.44325857142854
Croatia	EASTERN EUROPE	201-500 books	Female	519.0396745562131
Croatia	EASTERN EUROPE	101-200 books	Male	518.7866729166667
Croatia	EASTERN EUROPE	201-500 books	Male	545.8009893129771
Croatia	EASTERN EUROPE	26-100 books	Male	497.7092146853147
Croatia	EASTERN EUROPE	0-10 books	Male	438.5854160283688
Croatia	EASTERN EUROPE	0-10 books	Female	424.78494234693875
Croatia	EASTERN EUROPE	26-100 books	Female	479.8319861618799
Czech Republic	EASTERN EUROPE	0-10 books	Female	415.6819502590674
Czech Republic	EASTERN EUROPE	More than 500 books	Male	592.4205041284404
Czech Republic	EASTERN EUROPE	201-500 books	Male	590.0142286096257
Czech Republic	EASTERN EUROPE	201-500 books	Female	560.5295004048583
Czech Republic	EASTERN EUROPE	26-100 books	Female	493.3413815972222
Czech Republic	EASTERN EUROPE	11-25 books	Male	472.8430313351499
Czech Republic	EASTERN EUROPE	0-10 books	Male	447.4272458064516
Czech Republic	EASTERN EUROPE	101-200 books	Female	532.2102037366548
Czech Republic	EASTERN EUROPE	11-25 books	Female	457.9589766037736
Czech Republic	EASTERN EUROPE	More than 500 books	Female	579.7969567375886
Czech Republic	EASTERN EUROPE	26-100 books	Male	519.8043060465117
Czech Republic	EASTERN EUROPE	101-200 books	Male	549.8546745379876
Denmark	WESTERN EUROPE	101-200 books	Male	528.6219088461538
Denmark	WESTERN EUROPE	0-10 books	Female	424.86549069373945
Denmark	WESTERN EUROPE	More than 500 books	Female	546.9556579399142
Denmark	WESTERN EUROPE	More than 500 books	Male	546.7382584158415
Denmark	WESTERN EUROPE	11-25 books	Male	465.6309203100775
Denmark	WESTERN EUROPE	101-200 books	Female	507.564396302521
Denmark	WESTERN EUROPE	26-100 books	Male	499.53913754355403
Denmark	WESTERN EUROPE	11-25 books	Female	447.42620227272727
Denmark	WESTERN EUROPE	201-500 books	Male	542.1423324808184
Denmark	WESTERN EUROPE	0-10 books	Male	445.8461504672897
Denmark	WESTERN EUROPE	26-100 books	Female	477.0338377817854
Denmark	WESTERN EUROPE	201-500 books	Female	532.6970402862986
Estonia	BALTICS	201-500 books	Male	569.6427269333333
Estonia	BALTICS	201-500 books	Female	552.2274672169812
Estonia	BALTICS	11-25 books	Male	488.7824577259475
Estonia	BALTICS	101-200 books	Male	540.7479317982456
Estonia	BALTICS	26-100 books	Male	516.7268852054794
Estonia	BALTICS	0-10 books	Female	463.45091707317073
Estonia	BALTICS	11-25 books	Female	476.00157431506847
Estonia	BALTICS	26-100 books	Female	506.65696456185566
Estonia	BALTICS	More than 500 books	Male	559.6661164893617
Estonia	BALTICS	0-10 books	Male	472.98434163090127
Estonia	BALTICS	101-200 books	Female	533.536671686747
Estonia	BALTICS	More than 500 books	Female	575.1544197368421
Finland	WESTERN EUROPE	11-25 books	Female	462.6502535008977
Finland	WESTERN EUROPE	0-10 books	Female	438.6160452777778
Finland	WESTERN EUROPE	11-25 books	Male	475.1719880368098
Finland	WESTERN EUROPE	101-200 books	Male	533.9991483375959
Finland	WESTERN EUROPE	101-200 books	Female	525.3463605619147
Finland	WESTERN EUROPE	201-500 books	Female	551.9744065384615
Finland	WESTERN EUROPE	More than 500 books	Male	572.3904724444444
Finland	WESTERN EUROPE	0-10 books	Male	453.0794585227273
Finland	WESTERN EUROPE	More than 500 books	Female	565.2226720136518
Finland	WESTERN EUROPE	26-100 books	Female	495.6132367198839
Finland	WESTERN EUROPE	201-500 books	Male	559.1100183274021
Finland	WESTERN EUROPE	26-100 books	Male	507.78449588607594
France	WESTERN EUROPE	26-100 books	Male	508.62273166089966
France	WESTERN EUROPE	26-100 books	Female	494.2573134932534
France	WESTERN EUROPE	More than 500 books	Male	572.0151456953643
France	WESTERN EUROPE	101-200 books	Female	526.1029011286681
France	WESTERN EUROPE	201-500 books	Male	578.9448212765957
France	WESTERN EUROPE	201-500 books	Female	564.1024198697069
France	WESTERN EUROPE	0-10 books	Female	418.7799123167155
France	WESTERN EUROPE	More than 500 books	Female	562.4211583333333
France	WESTERN EUROPE	101-200 books	Male	549.2336956395349
France	WESTERN EUROPE	0-10 books	Male	435.5287866983373
France	WESTERN EUROPE	11-25 books	Male	474.42498693333334
France	WESTERN EUROPE	11-25 books	Female	453.02651718377086
Germany	WESTERN EUROPE	0-10 books	Female	406.8219111111111
Germany	WESTERN EUROPE	11-25 books	Male	487.17172
Germany	WESTERN EUROPE	0-10 books	Male	440.94563039999997
Germany	WESTERN EUROPE	26-100 books	Female	498.93638907563025
Germany	WESTERN EUROPE	11-25 books	Female	455.60984214559386
Germany	WESTERN EUROPE	More than 500 books	Male	581.2091118942732
Germany	WESTERN EUROPE	101-200 books	Female	526.7097330296127
Germany	WESTERN EUROPE	More than 500 books	Female	569.7255559633028
Germany	WESTERN EUROPE	26-100 books	Male	523.9686385416667
Germany	WESTERN EUROPE	201-500 books	Male	578.2649653125
Germany	WESTERN EUROPE	201-500 books	Female	558.4293926713948
Germany	WESTERN EUROPE	101-200 books	Male	547.426698783455
Greece	WESTERN EUROPE	101-200 books	Female	467.58271286681713
Greece	WESTERN EUROPE	More than 500 books	Male	501.930208
Greece	WESTERN EUROPE	201-500 books	Male	514.0030286919831
Greece	WESTERN EUROPE	11-25 books	Female	421.5703923395445
Greece	WESTERN EUROPE	26-100 books	Female	448.40199778037385
Greece	WESTERN EUROPE	101-200 books	Male	483.1667627039627
Greece	WESTERN EUROPE	0-10 books	Male	403.41618739255017
Greece	WESTERN EUROPE	26-100 books	Male	467.07611553637486
Greece	WESTERN EUROPE	201-500 books	Female	490.420919941349
Greece	WESTERN EUROPE	0-10 books	Female	393.4178493975904
Greece	WESTERN EUROPE	More than 500 books	Female	492.59010380434785
Greece	WESTERN EUROPE	11-25 books	Male	425.8159264413519
Hungary	EASTERN EUROPE	101-200 books	Female	497.4688487341772
Hungary	EASTERN EUROPE	101-200 books	Male	510.31836197916664
Hungary	EASTERN EUROPE	More than 500 books	Female	538.9856800925926
Hungary	EASTERN EUROPE	11-25 books	Female	423.05520323741007
Hungary	EASTERN EUROPE	0-10 books	Male	404.6852335968379
Hungary	EASTERN EUROPE	0-10 books	Female	384.3871406392694
Hungary	EASTERN EUROPE	More than 500 books	Male	563.263254674221
Hungary	EASTERN EUROPE	11-25 books	Male	440.0715801948052
Hungary	EASTERN EUROPE	201-500 books	Female	512.4718754060325
Hungary	EASTERN EUROPE	201-500 books	Male	531.5988832369942
Hungary	EASTERN EUROPE	26-100 books	Female	464.06349985007495
Hungary	EASTERN EUROPE	26-100 books	Male	485.50541277310924
Iceland	WESTERN EUROPE	26-100 books	Female	479.0849112033195
Iceland	WESTERN EUROPE	0-10 books	Female	425.2956273809524
Iceland	WESTERN EUROPE	0-10 books	Male	425.5980090909091
Iceland	WESTERN EUROPE	11-25 books	Female	442.78072883435584
Iceland	WESTERN EUROPE	201-500 books	Male	535.8905879084967
Iceland	WESTERN EUROPE	26-100 books	Male	481.49106812386157
Iceland	WESTERN EUROPE	11-25 books	Male	442.2480146666667
Iceland	WESTERN EUROPE	More than 500 books	Male	519.3119958333333
Iceland	WESTERN EUROPE	201-500 books	Female	526.1574812664908
Iceland	WESTERN EUROPE	More than 500 books	Female	538.8123535135135
Iceland	WESTERN EUROPE	101-200 books	Female	508.59488172588834
Iceland	WESTERN EUROPE	101-200 books	Male	500.47767043879907
Indonesia	ASIA (EX. NEAR EAST)	More than 500 books	Female	374.32322153846155
Indonesia	ASIA (EX. NEAR EAST)	11-25 books	Female	365.7099562193928
Indonesia	ASIA (EX. NEAR EAST)	101-200 books	Female	386.43401202185794
Indonesia	ASIA (EX. NEAR EAST)	101-200 books	Male	398.75985617283953
Indonesia	ASIA (EX. NEAR EAST)	201-500 books	Male	406.16585428571426
Indonesia	ASIA (EX. NEAR EAST)	More than 500 books	Male	382.71261139240505
Indonesia	ASIA (EX. NEAR EAST)	11-25 books	Male	369.75955163528243
Indonesia	ASIA (EX. NEAR EAST)	0-10 books	Male	366.2420254985755
Indonesia	ASIA (EX. NEAR EAST)	26-100 books	Female	387.81294454664913
Indonesia	ASIA (EX. NEAR EAST)	26-100 books	Male	395.83803298350824
Indonesia	ASIA (EX. NEAR EAST)	0-10 books	Female	367.99391532846715
